error_type,query,module,offending_string,matched_token,category,is_dead,severity,confidence,reasoning
SA blocklist,carolyn bessette-kennedy,gossip,carolyn bessette-kennedy death photos,death photo,violence_trauma_or_extremism,no,,,
SA blocklist,carolyn bessette-kennedy,gossip,carolyn bessette-kennedy death photos,death photos,violence_trauma_or_extremism,no,,,
SA blocklist,carolyn bessette-kennedy,alsoTrySouth,carolyn bessette-kennedy death photos,death photo,violence_trauma_or_extremism,no,,,
SA blocklist,carolyn bessette-kennedy,alsoTrySouth,carolyn bessette-kennedy death photos,death photos,violence_trauma_or_extremism,no,,,
SA blocklist,wednesday season 2 cast,gossip,wednesday season 2 cast serial killer,serial,illegal_activities,no,,,
SA blocklist,wednesday season 2 cast,alsoTrySouth,wednesday season 2 cast serial killer,serial,illegal_activities,no,,,
SA blocklist,wednesday season 2 cast,alsoTryEast,wednesday season 2 cast serial killer,serial,illegal_activities,no,,,
SA blocklist,chicago cubs manager 2025,gossip,chicago cubs manager 2025 torrent,torrent,illegal_activities,no,,,
SA blocklist,nascar driver falls,alsoTrySouth,nascar driver suicide,suicide,violence_trauma_or_extremism,no,,,
SA blocklist,thiago seyboth wild,gossip,thiago seyboth wild nazi,nazi,conspiracy_or_extreme_beliefs,no,,,
SA blocklist,thiago seyboth wild,alsoTryEast,thiago seyboth wild nazi,nazi,conspiracy_or_extreme_beliefs,no,,,
SA blocklist,kandahar (2023 film),gossip,kandahar (2023 film) torrent,torrent,illegal_activities,no,,,
SA blocklist,kandahar (2023 film),alsoTrySouth,kandahar (2023 film) torrent,torrent,illegal_activities,no,,,
SA blocklist,maika monroe,gossip,maika monroe bikini suit,bikini,sexual_or_explicit,no,,,
SA blocklist,maika monroe,alsoTrySouth,maika monroe bikini suit,bikini,sexual_or_explicit,no,,,
SA blocklist,maika monroe,alsoTrySouth,maika monroe bikini suit oops photos,bikini,sexual_or_explicit,no,,,
SA blocklist,gig young,gossip,gig young murder-suicide images,suicide,violence_trauma_or_extremism,no,,,
SA blocklist,gig young,alsoTrySouth,gig young murder-suicide images,suicide,violence_trauma_or_extremism,no,,,
SA blocklist,resurrection cast,alsoTrySouth,iron resurrection cast amanda martin bikini,bikini,sexual_or_explicit,no,,,
SA blocklist,joan collins today,gossip,joan collins today bikini,bikini,sexual_or_explicit,no,,,
SA blocklist,joan collins today,alsoTrySouth,joan collins today bikini,bikini,sexual_or_explicit,no,,,
SA blocklist,joan collins today,alsoTryEast,joan collins today bikini,bikini,sexual_or_explicit,no,,,
SA blocklist,kylie jenner,gossip,kylie jenner breast implants,breast,sexual_or_explicit,no,,,
death check,jeffrey louis starr,context,"The term is likely trending because ""Bad News Bears"" actor Jeffrey Louis Starr has died at age 61.",death_pattern,recent_death,yes,,,
death check,bobby whitlock,context,"The term ""bobby whitlock"" is likely trending because Bobby Whitlock, founder of Derek and the Dominos, has died at age 77.",death_pattern,recent_death,yes,,,
death check,brandon blackstock death,context,"The term is likely trending because Brandon Blackstock, Kelly Clarkson's ex-husband, has recently died after battling cancer.",death_pattern,recent_death,yes,,,
relevance,crusaders vs reds,kgBrowseSports,"query is crusaders vs reds, but kgBrowseSports title is Cincinnati Reds",irrelevant,off topic,no,,,
relevance,crusaders vs reds highlights,kgBrowseSports,"query is crusaders vs reds highlights, but kgBrowseSports title is Cincinnati Reds",irrelevant,off topic,no,,,
relevance,nfl preseason schedule,kgBrowseSports,"query is nfl preseason schedule, but kgBrowseSports title is National Football League",irrelevant,off topic,no,,,
relevance,2025 nfl schedule printable,kgBrowseSports,"query is 2025 nfl schedule printable, but kgBrowseSports title is National Football League",irrelevant,off topic,no,,,
relevance,buccaneers roman parodna,kgBrowseSports,"query is buccaneers roman parodna, but kgBrowseSports title is Tampa Bay Buccaneers",irrelevant,off topic,no,,,
relevance,fifa world cup,kgBrowseSports,"query is fifa world cup, but kgBrowseSports title is FIFA Club World Cup",irrelevant,off topic,no,,,
relevance,2025 nba draft wikipedia,kgBrowseSports,"query is 2025 nba draft wikipedia, but kgBrowseSports title is National Basketball Association",irrelevant,off topic,no,,,
relevance,2025 nhl entry draft wikipedia,kgBrowseSports,"query is 2025 nhl entry draft wikipedia, but kgBrowseSports title is National Hockey League",irrelevant,off topic,no,,,
relevance,shedeur sanders' mom,kgBrowseSports,"query is shedeur sanders' mom, but kgBrowseSports title is Shedeur Sanders",irrelevant,off topic,no,,,
relevance,landman (tv series) cast,peopleAlsoAsk,Who plays Landman in Boomtown 2022?,llm_irrelevant,off_topic,no,,,
relevance,mstr stock,peopleAlsoAsk,How do I evaluate MicroStrategy Incorporated (MSI) share price?,llm_irrelevant,off_topic,no,,,
relevance,2025 us open,peopleAlsoAsk,What time does the 2025 World Cup start?,llm_irrelevant,off_topic,no,,,
relevance,blocked 10,peopleAlsoAsk,Is 10x10 a free game?,llm_irrelevant,off_topic,no,,,
relevance,bubble-zone,peopleAlsoAsk,Does Bubble Town have a booster?,llm_irrelevant,off_topic,no,,,
relevance,apple quote stock,peopleAlsoAsk,What products does Apple sell?,llm_irrelevant,off_topic,no,,,
relevance,online card games,peopleAlsoAsk,Can I Sell my personal information on cardgames Io?,llm_irrelevant,off_topic,no,,,
relevance,alicia keys divorce,peopleAlsoAsk,Who posed next to Alicia Keys?,llm_irrelevant,off_topic,no,,,
relevance,ballard episodes,peopleAlsoAsk,What is Ballard's main focus?,llm_irrelevant,off_topic,no,,,
relevance,wednesday season 2,peopleAlsoAsk,When does 'the Daily Show' Season 2 Episode 1 come out?,llm_irrelevant,off_topic,no,,,
relevance,aapl stock,peopleAlsoAsk,What is the AAPL (AAPL) ETF price today?,llm_irrelevant,off_topic,no,,,
relevance,morgan kohan,peopleAlsoAsk,Who is Dr. Kohan?,llm_irrelevant,off_topic,no,,,
relevance,leanne cast,peopleAlsoAsk,Who are the cast of 'Lane & Carol' on Netflix?,llm_irrelevant,off_topic,no,,,
relevance,pilar sanders game outfit,peopleAlsoAsk,Will Shedeur Sanders win a roster spot with the Cleveland Browns?,llm_irrelevant,off_topic,no,,,
relevance,mlb standings 2025,peopleAlsoAsk,What's new at the New York City Football League 2025?,llm_irrelevant,off_topic,no,,,
relevance,abbny stock,peopleAlsoAsk,What is the ABB Ltd stock price?,llm_irrelevant,off_topic,no,,,
relevance,abbny stock,peopleAlsoAsk,What was ABB's stock price on January 1st 2025?,llm_irrelevant,off_topic,no,,,
relevance,kandahar cast,peopleAlsoAsk,Who are the actors in 'Bahador Negahban' starring Gerard Butler?,llm_irrelevant,off_topic,no,,,
relevance,natasha richardson,peopleAlsoAsk,Are Vanessa and Natasha still together?,llm_irrelevant,off_topic,no,,,
relevance,crm stock,peopleAlsoAsk,What is the Global Healthcare CRM market size?,llm_irrelevant,off_topic,no,,,
relevance,patrick joseph white,peopleAlsoAsk,Did Georgia police share photos of a man claiming he was white?,llm_irrelevant,off_topic,no,,,
relevance,patrick joseph white,peopleAlsoAsk,What did police chief Gregory Padrick say about Rose?,llm_irrelevant,off_topic,no,,,
relevance,pagosa springs fire update today,peopleAlsoAsk,What happened at Pagosa high school?,llm_irrelevant,off_topic,no,,,
relevance,pagosa springs fire update today,peopleAlsoAsk,Where is Pagosa Springs High School?,llm_irrelevant,off_topic,no,,,
relevance,pagosa springs fire update today,peopleAlsoAsk,What's happening at 970-422-7084?,llm_irrelevant,off_topic,no,,,
relevance,fantasy football mock draft,peopleAlsoAsk,Should managers practice with fantasy baseball mock drafts?,llm_irrelevant,off_topic,no,,,
relevance,happy gilmore cast,peopleAlsoAsk,Who plays Happy Gilmore in laughing clown?,llm_irrelevant,off_topic,no,,,
relevance,happy gilmore cast,peopleAlsoAsk,Who plays Happy Gilmore in 'the Great Gatsby'?,llm_irrelevant,off_topic,no,,,
relevance,jeffrey louis starr,peopleAlsoAsk,What happened to Jeffrey on 'Bad News Bears'?,llm_irrelevant,off_topic,no,,,
relevance,berkshire hathaway b stock price,peopleAlsoAsk,How much money did Berkshire Hathaway invest in 2025?,llm_irrelevant,off_topic,no,,,
relevance,crwv stock,peopleAlsoAsk,How much is CRCW stock worth?,llm_irrelevant,off_topic,no,,,
relevance,charlotte knights,peopleAlsoAsk,Who is Charlotte Knight?,llm_irrelevant,off_topic,no,,,
relevance,adriana machado ribeiro,peopleAlsoAsk,What happened to Cardoso & Ribeiro?,llm_irrelevant,off_topic,no,,,
relevance,2025 nhl draft,peopleAlsoAsk,When was the 2025 NBA draft?,llm_irrelevant,off_topic,no,,,
relevance,wisconsin flooding,peopleAlsoAsk,What happened at the Wisconsin State Fair?,llm_irrelevant,off_topic,no,,,
relevance,chicago cabs,peopleAlsoAsk,Are the Chicago Cubs ready to attack the offseason?,llm_irrelevant,off_topic,no,,,
relevance,chicago cabs,peopleAlsoAsk,Are the Chicago Cubs a good team?,llm_irrelevant,off_topic,no,,,
relevance,chicago cabs,peopleAlsoAsk,Did the 2024 Chicago Cubs season go according to plan?,llm_irrelevant,off_topic,no,,,
relevance,pilar sanders,peopleAlsoAsk,Will Shedeur Sanders win a roster spot with the Cleveland Browns?,llm_irrelevant,off_topic,no,,,
relevance,ginny & georgia cast,peopleAlsoAsk,How does Georgia help Ginny get pregnant?,llm_irrelevant,off_topic,no,,,
relevance,pilar sanders outfit,peopleAlsoAsk,Who is Shedeur Sanders?,llm_irrelevant,off_topic,no,,,
relevance,pilar sanders outfit,peopleAlsoAsk,Will Shedeur Sanders win a roster spot with the Cleveland Browns?,llm_irrelevant,off_topic,no,,,
relevance,the misfits (1961 film) cast,peopleAlsoAsk,Who are the actors in The Misfits (2021) movie?,llm_irrelevant,off_topic,no,,,
relevance,chicago cubs schedule,peopleAlsoAsk,What time does Cubs auction close?,llm_irrelevant,off_topic,no,,,
relevance,war of the worlds,peopleAlsoAsk,Who fought in WW1?,llm_irrelevant,off_topic,no,,,
relevance,war of the worlds,peopleAlsoAsk,When did World War 1 start?,llm_irrelevant,off_topic,no,,,
relevance,war of the worlds,peopleAlsoAsk,Which countries fought in WW1?,llm_irrelevant,off_topic,no,,,
relevance,2025 us open tennis schedule,peopleAlsoAsk,What time does the 2025 World Cup start?,llm_irrelevant,off_topic,no,,,
