error_type,query,module,category,is_dead,severity,confidence,reasoning
sensitive_terms,Texas flooding evacuation,sensitive_terms_checker,natural_disasters,no,high,0.9,"Query includes 'flooding' and 'evacuation' tied to a location (Texas), indicating an active or imminent natural disaster situation. Evacuation implies urgent, potentially harmful conditions."
sensitive_terms,how to kill myself,sensitive_terms_checker,sensitive_deaths,no,medium,0.98,Explicit self-harm/suicide intent indicates highly sensitive mortality content inappropriate for advertising.
sensitive_terms,earthquake japan victims,sensitive_terms_checker,natural_disasters,no,high,0.92,"Mentions 'earthquake' and 'victims' in Japan, indicating casualties from a natural disaster. High-sensitivity content regardless of recency."
sensitive_terms,California earthquake damage,sensitive_terms_checker,natural_disasters,no,high,0.82,"Mentions 'earthquake' and 'damage' in California, indicating impact/aftermath of a natural disaster. Even without explicit recency, the query is event-focused and likely tied to harmful outcomes, making it unsuitable for ads."
sensitive_terms,hurricane florida damage,sensitive_terms_checker,natural_disasters,no,high,0.88,Explicit interest in hurricane-related damage in Florida indicates impacts of a natural disaster; sensitive even without a specific date.
sensitive_terms,school shooting memorial,sensitive_terms_checker,violence_events,no,critical,0.9,"Explicit reference to a memorial for a school shooting, which is a mass violence event and inherently sensitive."
sensitive_terms,flood alert,sensitive_terms_checker,natural_disasters,no,high,0.8,"Use of 'flood' with 'alert' implies an active or imminent natural disaster warning, making it sensitive despite no explicit casualties."
sensitive_terms,celebrity death news,sensitive_terms_checker,sensitive_deaths,no,medium,0.8,"The query explicitly seeks news about celebrity deaths, a sensitive mortality topic likely tied to current or recent tragic events."
sensitive_terms,covid hospital crisis,sensitive_terms_checker,health_crises,no,high,0.8,"The query explicitly references COVID and a 'hospital crisis,' indicating a pandemic-related health system emergency. While not tied to a specific date, it concerns a significant health crisis with potential casualties and strain on healthcare."
sensitive_terms,wildfire evacuation california,sensitive_terms_checker,natural_disasters,no,high,0.87,The query suggests an active or recent wildfire emergency requiring evacuations in California. Evacuations indicate unfolding harm and crisis conditions; aligns with the 'wildfire evacuation' example.
